time,latitude,longitude,depth,mag,region
2020-11-27T02:37:53.266Z,14.0484,120.6726,145.9,4.5,0 km SE of Lumbangan  Philippines
2020-11-29T05:49:03.605Z,7.8831,127.1706,38.15,4.1,71 km ENE of Kinablangan  Philippines
2020-11-29T20:23:49.359Z,12.0949,124.2898,10,4.9,16 km SW of Piña  Philippines
2020-12-04T04:40:59.587Z,13.634,120.4235,78.75,4.4,20 km N of Harrison  Philippines
2020-12-04T22:08:39.131Z,8.33,126.603,47.47,4.1,26 km NE of Barcelona  Philippines
2020-12-07T14:37:24.035Z,12.9771,124.5106,68.9,5.4,36 km NNE of Biri  Philippines
2020-12-11T04:10:11.740Z,13.8417,120.7331,138,4.5,3 km E of Hukay  Philippines
2020-12-15T15:38:41.397Z,9.0674,126.1647,36.58,4.4,3 km WSW of Tandag  Philippines
2020-12-16T00:00:07.461Z,13.1234,123.9382,10,4.5,3 km WNW of Santo Niño  Philippines
2020-12-19T20:40:54.383Z,10.8492,126.273,10,4.7,49 km E of Sulangan  Philippines
2020-12-21T18:14:47.611Z,14.7716,121.6318,37.94,4.9,0 km NNW of General Nakar  Philippines
2020-12-22T13:37:53.748Z,10.0821,126.0988,54.97,5,9 km NE of Santa Monica  Philippines
2020-12-24T04:16:31.088Z,13.5924,120.7549,118.74,4.2,14 km N of Wawa  Philippines
2020-12-24T10:32:07.304Z,13.7471,120.9371,122.91,4.5,Mindoro  Philippines
2020-12-24T23:43:41.964Z,13.82,120.6539,109,6.3,2 km ESE of Calatagan  Philippines
2020-12-25T01:06:50.404Z,13.6673,120.6024,127.42,4.1,18 km S of Calatagan  Philippines
2020-12-25T10:04:34.286Z,13.2955,122.3301,10,5.4,20 km W of Silongin  Philippines
2020-12-25T13:24:47.240Z,13.7462,120.8312,121.32,4.7,7 km NW of Bagalangit  Philippines
2020-12-26T03:41:17.024Z,13.0154,122.1056,10,4.4,27 km SSE of Yook  Philippines
2020-12-27T22:31:31.086Z,13.7534,120.7854,117.13,4.4,Mindoro  Philippines
2020-12-28T03:46:07.270Z,13.2406,122.592,10,4.4,3 km S of Tala  Philippines
2020-12-28T13:43:32.767Z,13.9939,120.6997,154.22,4.5,3 km W of Putol  Philippines
2020-12-29T16:38:08.564Z,8.7329,126.7121,46.44,4.2,46 km E of Marihatag  Philippines
2020-12-29T16:38:55.611Z,8.2531,127.1138,10,4.4,75 km E of Barcelona  Philippines
2020-12-29T18:43:22.393Z,9.4131,124.2318,529.84,4.3,21 km S of Valencia  Philippines
2020-12-30T21:27:32.633Z,7.6359,126.9172,53.27,4.6,40 km E of Baganga  Philippines
2021-01-02T05:29:17.919Z,9.5829,125.9985,61.49,4.3,5 km SE of Socorro  Philippines
2021-01-04T00:05:10.096Z,13.1674,122.2262,10,4.5,22 km SE of Torrijos  Philippines
2021-01-06T15:44:31.415Z,8.9701,126.7309,27.47,4.5,47 km E of Aras-asan  Philippines
2021-01-07T02:20:32.752Z,7.8003,122.0446,10,4.5,14 km NW of Siocon  Philippines
2021-01-07T16:47:18.277Z,7.6827,121.9292,10,4.5,22 km W of Siocon  Philippines
2021-01-15T22:48:55.129Z,13.7845,120.7376,158.64,4.6,7 km SSE of Hukay  Philippines
2021-01-16T22:37:45.312Z,12.0214,125.0465,80.23,4.5,4 km SE of San Jose de Buan  Philippines
2021-01-20T01:27:58.557Z,9.0657,125.6272,10,4.8,1 km NNE of Balangbalang  Philippines
2021-01-20T06:53:09.510Z,10.5061,125.5427,60.49,4.9,16 km NNW of Loreto  Philippines
2021-01-22T07:57:11.693Z,13.6855,120.7777,190.08,4.2,10 km WNW of Tingloy  Philippines
2021-01-22T07:59:16.772Z,9.8355,126.3433,10,4.4,26 km E of Pilar  Philippines
2021-01-22T23:14:06.478Z,10.207,125.3979,10,4.2,22 km SW of Tubajon  Philippines
2021-01-23T09:29:23.653Z,9.0234,126.2249,165.55,4,0 km WNW of Tago  Philippines
2021-01-24T07:44:19.099Z,8.194,125.0968,10,4.2,4 km NW of Sumpong  Philippines
2021-01-24T14:26:45.309Z,8.99,126.504,64.31,5.2,24 km ENE of Aras-asan  Philippines
2021-01-25T17:31:25.014Z,9.1524,126.185,70.36,4.3,3 km SSE of Mabahin  Philippines
2021-01-25T19:39:47.617Z,13.8793,120.6672,90.63,4.6,2 km E of Lucsuhin  Philippines
2021-01-26T21:04:17.581Z,8.0318,126.9793,35,4.4,59 km E of Santa Maria  Philippines
2021-01-27T20:48:46.902Z,13.878,120.8167,116.91,4.1,5 km SW of Sinisian  Philippines
2021-01-29T05:08:14.209Z,13.5184,120.4817,54.49,4.8,9 km NE of Harrison  Philippines
2021-01-29T05:12:23.257Z,13.4978,120.5059,43.3,5,9 km NE of Harrison  Philippines
2021-01-30T03:12:57.887Z,10.5986,125.5181,10,4.8,26 km NNW of Loreto  Philippines
2021-01-31T00:34:14.635Z,9.0919,126.5574,18.17,4.9,34 km ENE of Bacolod  Philippines
2021-01-31T05:02:44.783Z,9.4274,125.8907,71.09,4.2,2 km NNW of Adlay  Philippines
2021-02-01T14:08:11.201Z,13.0728,120.3517,10,4.4,29 km SW of Tayaman  Philippines
2021-02-01T22:31:08.001Z,9.7061,126.01,10,4.7,7 km SW of Dapa  Philippines
2021-02-03T03:36:05.281Z,13.752,120.8608,107.41,4.4,4 km W of Solo  Philippines
2021-02-04T22:00:43.301Z,14.5452,122.976,10,5.1,35 km NE of Paracale  Philippines
2021-02-04T22:08:40.294Z,14.4849,123.1486,10,4.5,38 km NE of Sabang Indan  Philippines
2021-02-04T23:30:02.617Z,14.3807,123.0941,10,4.5,26 km NE of Sabang Indan  Philippines
2021-02-04T23:49:49.484Z,11.9022,120.7811,10,4.8,52 km SW of Santa Teresa  Philippines
2021-02-05T00:23:50.031Z,14.2998,122.8456,10,4.3,6 km ENE of Paracale  Philippines
2021-02-05T11:14:44.735Z,9.2687,126.5677,38.67,4.5,Mindanao  Philippines
2021-02-06T10:21:12.868Z,7.527,126.6197,74.7,4.6,8 km SE of Baganga  Philippines
2021-02-07T04:22:56.667Z,6.7693,125.1011,16,6,9 km W of Magsaysay  Philippines
2021-02-08T17:33:16.737Z,7.5478,126.7851,58.26,4.5,24 km ENE of Baculin  Philippines
