time,latitude,longitude,depth,mag,region
2020-11-27T22:57:16.291Z,52.1488,159.7571,35,4.5,124 km SE of Petropavlovsk-Kamchatsky  Russia
2020-11-28T02:54:04.757Z,52.2729,159.763,43.21,4.5,114 km SE of Petropavlovsk-Kamchatsky  Russia
2020-11-30T14:46:24.453Z,53.9734,158.4556,167.35,4.5,81 km S of Mil’kovo  Russia
2020-12-09T13:08:50.915Z,55.944,160.1521,232.23,4.3,21 km ESE of Kozyrëvsk  Russia
2020-12-09T16:37:34.686Z,49.4305,156.0736,57.19,4.4,138 km S of Severo-Kuril’sk  Russia
2020-12-10T12:32:22.930Z,51.0125,156.3027,148.56,4.1,39 km NNE of Severo-Kuril’sk  Russia
2020-12-11T08:09:14.743Z,54.2298,161.8479,10,4,208 km SE of Atlasovo  Russia
2020-12-14T04:09:45.628Z,56.0332,163.6169,10,4.3,74 km ESE of Ust’-Kamchatsk Staryy  Russia
2020-12-14T04:16:05.153Z,55.9833,163.7701,10,4.6,84 km ESE of Ust’-Kamchatsk Staryy  Russia
2020-12-20T23:27:04.924Z,49.2568,155.8718,42.66,4.5,158 km S of Severo-Kuril’sk  Russia
2020-12-22T12:08:58.675Z,53.1786,159.7354,74.69,4.2,74 km E of Petropavlovsk-Kamchatsky  Russia
2021-01-05T14:34:20.766Z,50.2279,155.1981,159.67,4.1,82 km SW of Severo-Kuril’sk  Russia
2021-01-05T23:59:38.822Z,54.8592,164.7188,10,4.1,207 km SE of Ust’-Kamchatsk Staryy  Russia
2021-01-11T12:56:43.448Z,52.7477,158.7786,78.4,4.5,32 km SE of Vilyuchinsk  Russia
2021-01-14T09:09:30.926Z,54.6664,161.0428,68.18,4.2,137 km SE of Atlasovo  Russia
2021-01-15T17:32:54.767Z,56.0568,164.6155,10,4.7,Komandorskiye Ostrova  Russia region
2021-01-17T08:31:53.235Z,54.0443,161.9609,10,5.1,228 km ESE of Mil’kovo  Russia
2021-01-24T13:49:14.954Z,55.5573,160.4599,10,4.4,51 km E of Atlasovo  Russia
2021-02-03T10:20:20.196Z,55.0269,165.6441,10,4.9,240 km SE of Ust’-Kamchatsk Staryy  Russia
2021-02-11T21:09:48.778Z,53.8241,160.5972,46.07,4.6,155 km ENE of Petropavlovsk-Kamchatsky  Russia
2021-02-12T22:28:38.952Z,55.3377,162.5708,35,4.2,99 km S of Ust’-Kamchatsk Staryy  Russia
2021-02-15T09:02:24.484Z,53.95,158.5141,162.77,4,83 km S of Mil’kovo  Russia
2021-02-15T22:24:31.407Z,54.7917,161.1203,48.34,4.1,130 km SE of Atlasovo  Russia
2021-02-16T09:55:31.937Z,52.0567,157.0055,147.35,4.9,71 km NNE of Ozernovskiy  Russia
2021-02-17T00:44:18.106Z,49.8426,156.1707,32.22,4.1,92 km S of Severo-Kuril’sk  Russia
