time,latitude,longitude,depth,mag,region
2021-07-08T10:09:17.725Z,5.3333,126.4682,24.06,5.2,111 km E of Sarangani  Philippines
2021-07-08T20:36:09.307Z,4.3966,123.6905,544.02,4.2,202 km SSW of Maitum  Philippines
2021-07-08T20:50:18.464Z,4.1661,126.7602,44.38,4.4,198 km SE of Sarangani  Philippines
2021-07-09T00:24:44.965Z,5.4378,125.8074,150.79,4.3,38 km E of Sarangani  Philippines
2021-07-09T04:12:27.985Z,3.1991,128.0723,140.64,4.3,162 km N of Tobelo  Indonesia
2021-07-09T08:34:51.161Z,8.5765,123.2523,10,4.6,6 km NNE of Langatian  Philippines
2021-07-09T09:31:29.639Z,2.2036,126.6825,41.99,4.2,156 km WNW of Tobelo  Indonesia
2021-07-10T00:43:55.986Z,2.9494,126.4984,44.33,6.1,215 km NW of Tobelo  Indonesia
2021-07-10T00:51:08.753Z,2.9677,126.5601,42.57,5.5,211 km NW of Tobelo  Indonesia
2021-07-10T00:58:13.388Z,2.9189,126.5451,51.27,5,209 km NW of Tobelo  Indonesia
2021-07-10T01:14:10.317Z,2.8401,126.3049,34,4.2,210 km NE of Laikit  Laikit II (Dimembe)  Indonesia
2021-07-10T01:19:03.431Z,2.8478,126.5982,68.76,4.2,199 km NW of Tobelo  Indonesia
2021-07-10T02:20:25.555Z,2.9486,126.6554,63.25,4.4,202 km NW of Tobelo  Indonesia
2021-07-10T02:26:13.976Z,2.8069,126.634,64.68,4.5,193 km NW of Tobelo  Indonesia
2021-07-10T02:30:59.846Z,2.896,126.6966,77.12,4.6,194 km NW of Tobelo  Indonesia
2021-07-10T02:33:37.507Z,2.903,126.6469,69.12,4.6,199 km NW of Tobelo  Indonesia
2021-07-10T03:00:43.512Z,2.8374,126.6152,66.25,4,197 km NW of Tobelo  Indonesia
2021-07-10T03:30:52.786Z,2.8154,126.5768,63.88,4.6,199 km NW of Tobelo  Indonesia
2021-07-10T07:25:52.444Z,2.838,126.3574,38.97,4.1,214 km NE of Laikit  Laikit II (Dimembe)  Indonesia
2021-07-10T10:04:53.128Z,2.8882,126.7395,52.11,4.5,Molucca Sea
2021-07-10T10:06:30.405Z,2.8571,126.6144,55.94,4.8,199 km NW of Tobelo  Indonesia
2021-07-10T18:45:19.834Z,6.3799,124.0361,77.49,4.9,7 km S of Sangay  Philippines
2021-07-11T02:12:59.236Z,3.1954,126.8369,47.5,4.1,208 km NW of Tobelo  Indonesia
2021-07-11T04:24:43.123Z,4.8984,126.1638,91.29,4.4,95 km SE of Sarangani  Philippines
2021-07-11T16:07:32.778Z,2.9087,126.5959,55.15,4.5,204 km NW of Tobelo  Indonesia
2021-07-11T17:07:23.691Z,8.7759,126.2666,78.05,4.3,Mindanao  Philippines
