time,latitude,longitude,depth,mag,region
2006-04-26T07:07:34.910Z,36.414,141.691,68.5,3.2,93 km ESE of Takahagi  Japan
2006-04-26T14:10:37.710Z,42.064,142.493,66.8,4.8,31 km SSE of Shizunai-furukawach?  Japan
2006-04-26T19:53:25.830Z,39.365,141.862,114.5,4,3 km W of ?tsuchi  Japan
2006-04-27T02:57:31.800Z,34.466,141.006,44.1,4.3,98 km SE of Katsuura  Japan
2006-04-27T16:47:39.860Z,35.752,144.559,30.8,4.3,off the east coast of Honshu  Japan
2006-04-30T04:10:36.150Z,34.987,139.271,10,4.2,17 km E of It?  Japan
2006-05-01T07:00:43.440Z,36.038,139.653,62.7,4.3,2 km NNW of Shiraoka  Japan
2006-05-02T09:24:31.470Z,34.773,139.256,26.1,4.9,26 km SE of It?  Japan
2006-05-03T06:48:50.140Z,36.677,139.511,115.5,3.6,12 km SW of Nikk?  Japan
2006-05-04T01:17:30.260Z,37.067,137.493,24.2,4.3,14 km N of Ny?zen  Japan
2006-05-05T08:39:37.640Z,37.556,142.658,27,4.1,146 km E of Namie  Japan
2006-05-06T11:45:43.140Z,38.431,142.183,51.6,4.2,77 km E of Ishinomaki  Japan
2006-05-06T21:34:19.780Z,35.343,142.544,35,4,161 km ESE of Hasaki  Japan
2006-05-08T01:33:09.690Z,36.077,141.902,42.3,4,104 km ENE of Hasaki  Japan
2006-05-08T01:55:42.940Z,36.404,141.67,35,4.4,92 km ESE of Takahagi  Japan
2006-05-10T00:52:09.240Z,35.669,141.608,35,3.9,70 km E of Hasaki  Japan
2006-05-10T01:23:11.630Z,34.964,139.712,39,4.1,14 km W of Tateyama  Japan
2006-05-11T04:14:33.280Z,36.488,140.853,49.5,4.2,22 km SE of Hitachi  Japan
2006-05-11T20:15:23.910Z,42.378,143.76,57.6,4.2,75 km SE of Obihiro  Japan
2006-05-13T10:17:31.150Z,34.297,142.017,44,3.6,182 km ESE of Katsuura  Japan
2006-05-14T07:14:28.530Z,41.692,144.224,32.5,4.2,143 km S of Kushiro  Japan
2006-05-14T10:46:53.650Z,38.883,140.361,46.1,4.1,14 km NNE of Shinj?  Japan
2006-05-18T08:00:34.140Z,40.765,142.586,28,4.3,near the east coast of Honshu  Japan
2006-05-19T13:47:48.890Z,35.934,142.032,10,3.6,110 km ENE of Hasaki  Japan
2006-05-19T22:20:15.410Z,35.991,140.159,60.3,3.4,3 km NE of Ushiku  Japan
2006-05-20T04:57:52.690Z,35.025,139.986,70.5,4.5,11 km ENE of Tateyama  Japan
2006-05-21T07:22:36.930Z,38.667,142.249,49.8,4.5,64 km SE of ?funato  Japan
2006-05-21T14:45:00.030Z,42.072,142.639,87.4,3.9,36 km SE of Shizunai-furukawach?  Japan
2006-05-22T16:21:16.890Z,34.632,140.768,35,4.1,70 km SE of Katsuura  Japan
2006-05-26T01:58:49.410Z,42.769,142.807,144.5,4.1,36 km WSW of Obihiro  Japan
2006-05-26T13:58:57.100Z,36.838,141.663,16.7,4.3,73 km ESE of Iwaki  Japan
2006-05-26T18:03:04.280Z,35.418,140.994,45,4.2,37 km SSE of Hasaki  Japan
2006-05-28T20:18:45.600Z,41.891,144.292,30.3,4.7,120 km S of Kushiro  Japan
2006-05-30T07:38:14.470Z,40.378,141.363,92.7,3.5,17 km SW of Hachinohe  Japan
2006-05-30T12:17:44.730Z,36.271,139.408,123.6,3.4,4 km SE of ?ta  Japan
2006-05-31T15:24:10.960Z,36.228,141.895,35.8,4.3,110 km ENE of Hasaki  Japan
2006-06-02T02:31:06.170Z,34.824,139.029,144,4.4,16 km SSW of It?  Japan
2006-06-07T03:21:51.150Z,35.594,140.271,56.6,3.2,7 km SSW of Yachimata  Japan
2006-06-08T21:07:21.340Z,35.452,140.588,41.6,4.3,22 km SE of Narut?  Japan
2006-06-11T07:46:43.080Z,40.798,141.124,113.7,4.2,25 km WNW of Misawa  Japan
2006-06-11T23:04:20.020Z,41.467,142.091,76.6,4.4,75 km ENE of Mutsu  Japan
2006-06-12T11:03:57.280Z,36.24,142.448,49.2,4.3,156 km ENE of Hasaki  Japan
2006-06-12T17:31:11.920Z,42.158,144.105,61,3.9,93 km SSW of Kushiro  Japan
2006-06-13T02:40:33.110Z,42.702,143.422,85.5,4.8,29 km SE of Obihiro  Japan
2006-06-13T11:03:53.860Z,37.421,141.108,28,4,11 km SE of Namie  Japan
2006-06-13T22:11:13.060Z,36.102,140.16,35,3.9,5 km N of Naka  Japan
2006-06-14T09:30:29.590Z,42.688,142.903,107.4,4,35 km SW of Obihiro  Japan
2006-06-16T07:30:48.900Z,34.727,140.646,56,3.2,55 km SSE of Katsuura  Japan
2006-06-16T07:33:21.810Z,34.629,140.46,49.1,4.5,58 km SSE of Katsuura  Japan
2006-06-16T10:42:51.770Z,40.316,143.674,28.1,4.8,165 km ENE of Miyako  Japan
2006-06-16T13:31:43.790Z,40.346,143.913,10,4.2,185 km ENE of Miyako  Japan
2006-06-16T14:21:20.910Z,34.617,140.393,47.5,4.4,59 km S of Katsuura  Japan
2006-06-16T17:10:40.300Z,40.349,143.712,30,5.5,170 km ENE of Miyako  Japan
2006-06-16T19:04:13.600Z,40.337,143.722,46.7,4.2,170 km ENE of Miyako  Japan
2006-06-16T19:14:17.620Z,36.227,141.215,37.6,4.1,57 km E of ?arai  Japan
2006-06-16T19:53:36.980Z,40.27,143.684,43.8,4.4,164 km ENE of Miyako  Japan
2006-06-16T20:19:21.390Z,40.329,143.612,28.8,5.5,161 km ENE of Miyako  Japan
2006-06-17T04:51:35.390Z,40.175,142.513,45.2,4.5,76 km NE of Miyako  Japan
2006-06-17T07:38:10.370Z,40.674,141.11,45.6,4.4,23 km W of Misawa  Japan
2006-06-17T20:30:09.150Z,40.35,142.08,50,3.7,51 km ESE of Hachinohe  Japan
2006-06-19T10:52:06.430Z,35.695,140.698,52.8,3.1,4 km ESE of Asahi  Japan
2006-06-19T21:47:12.250Z,35.722,139.994,80.9,4.8,2 km NNE of Honch?  Japan
2006-06-24T14:34:49.110Z,41.13,142.795,57.9,4,128 km ENE of Misawa  Japan
2006-06-24T19:52:45.530Z,36.132,139.48,131.7,4.3,2 km ESE of Gy?da  Japan
2006-06-25T00:07:31.330Z,36.624,137.453,241.9,4.1,11 km SE of Kamiichi  Japan
2006-06-26T06:01:38.250Z,41.35,142.134,55.8,4.1,77 km E of Mutsu  Japan
2006-06-27T14:21:53.430Z,35.55,139.875,78.8,4.1,13 km S of Urayasu  Japan
2006-06-28T00:40:24.670Z,35.805,139.743,124.2,4.2,2 km E of Kawaguchi  Japan
2006-06-29T03:19:17.160Z,36.268,138.695,143.2,3.8,18 km W of Tomioka  Japan
2006-06-29T11:09:04.400Z,35.669,140.126,66.9,3.7,4 km WNW of Yotsukaid?  Japan
2006-06-30T20:44:50.480Z,40.902,142.989,78.1,3.8,133 km ENE of Hachinohe  Japan
2006-06-30T23:28:13.230Z,38.47,142.156,40,5.2,74 km E of Ishinomaki  Japan
2006-07-03T22:44:57.710Z,37.778,142.691,35,4,141 km ESE of Ishinomaki  Japan
2006-07-05T17:08:41.050Z,40.171,142.318,46.4,5.3,66 km NNE of Miyako  Japan
2006-07-05T21:11:49.350Z,38.379,140.649,44.9,4.4,20 km W of Tomiya  Japan
2006-07-06T06:17:28.150Z,36.139,140.032,50.4,4.4,6 km ENE of Ishige  Japan
2006-07-06T13:57:40.510Z,34.054,141.51,19.9,4.3,163 km SE of Katsuura  Japan
2006-07-06T23:07:13.070Z,39.925,142.52,101.1,4.1,58 km ENE of Miyako  Japan
2006-07-07T19:17:57.020Z,40.164,142.619,68.5,4.3,81 km NE of Miyako  Japan
2006-07-08T05:02:45.210Z,41.597,142.07,63.9,4.2,79 km ENE of Mutsu  Japan
2006-07-09T00:06:19.560Z,35.515,139.947,24.1,4.7,12 km W of Ichihara  Japan
2006-07-09T08:48:17.560Z,35.274,139.103,53.2,4.7,5 km WNW of Odawara  Japan
2006-07-10T02:49:13.980Z,34.064,140.732,45,3.9,125 km SSE of Katsuura  Japan
2006-07-11T06:47:06.500Z,40.653,142.461,57.6,4.4,83 km ENE of Hachinohe  Japan
2006-07-14T19:00:10.020Z,38.102,145.096,10,4.4,off the east coast of Honshu  Japan
2006-07-16T20:01:33.110Z,42.675,143.488,89.4,4.3,35 km SE of Obihiro  Japan
2006-07-16T23:25:07.650Z,37.459,141.325,38.5,4.4,28 km E of Namie  Japan
2006-07-20T01:20:28.660Z,42.526,143.664,100.4,4.4,57 km SE of Obihiro  Japan
2006-07-20T13:40:14.500Z,39.401,141.219,119.8,4.5,9 km ENE of Hanamaki  Japan
2006-07-25T02:34:12.450Z,42.042,144.23,47.4,4.4,104 km S of Kushiro  Japan
2006-07-26T20:55:30.120Z,37.074,141.686,10,4.3,71 km E of Iwaki  Japan
2006-07-27T22:35:06.060Z,41.941,140.051,188.1,4.1,51 km WNW of Kamiiso  Japan
2006-07-29T17:19:22.280Z,36.262,140.213,57.8,4.1,9 km NNW of Ishioka  Japan
2006-07-31T22:13:34.090Z,39.632,142.375,71.5,4,37 km E of Miyako  Japan
2006-08-01T13:11:42.710Z,36.373,140.891,48.3,4.1,28 km ENE of ?arai  Japan
2006-08-04T23:20:54.060Z,40.809,140.84,111.7,3.5,9 km E of Aomori  Japan
2006-08-06T15:46:32.060Z,39.71,142.341,63.5,4.1,35 km ENE of Miyako  Japan
2006-08-12T11:11:33.200Z,36.993,141.646,50,4.2,68 km E of Iwaki  Japan
2006-08-13T14:52:44.220Z,38.237,144.972,10,4.3,293 km ESE of Kamaishi  Japan
2006-08-13T21:00:56.460Z,42.189,144.014,48.2,4.3,92 km SSW of Kushiro  Japan
2006-08-14T05:42:01.620Z,35.167,140.249,72.1,3.6,6 km WNW of Katsuura  Japan
2006-08-16T19:55:15.040Z,39.105,142.624,10,4,68 km ESE of Kamaishi  Japan
